,,,Í–ËŸ⁄ ‚‹ŸŸ‘,“Ÿ‹,ﬁ”Ÿ‡Í ﬁÁ’Ë,‚ŸË ﬁ“’ËŸ› —ŸÈË–‹,ﬁÁÊ’‚,ﬁ“”Ë,ﬁÊ— ﬁÈ‰◊ÍŸ,·ÿÿ’· ‚‹ŸŸ‘,Í–ËŸ⁄ Ë–Ÿ’ﬂ ‚‹ŸŸ‘,ﬁ·' ÿŸ·‘,‘ÈÍŸŸ€’Í ”ÍŸÍ,Í’–Ë,
,,,1/1/2023,1,New York,Nahariyya,,Female,Child,,,,Chabad,,
,,,1/1/2023,58,Illinois,Jerusalem,Real Estate - Property Manager,Female,Married,Oleh,1/13/2022,UA140,Conservative,,
,,,1/1/2023,59,Illinois,Jerusalem,Sales,Male,Married,Oleh,1/13/2022,UA140,Conservative,,
,,,1/1/2023,22,New Jersey,Herzliya,,Male,Single,,,,Reform,,
,,,1/2/2023,17,New Jersey,Migdal Oz,Student,Female,Single,,,,Modern Orthodox,,
,,,1/2/2023,79,Oregon,Or Akiva,Education - Principal,Male,Married,Oleh,11/1/2022,LY06,Conservative,,
,,,1/3/2023,18,Rhode Island,Kibbutz Lavi,Unemployed,Male,Single,,,,Conservative,Diploma/GED,
,,,1/4/2023,25,New York,Tel Aviv-Yafo,Student,Female,Single,Oleh,11/9/2022,LY26,Modern Orthodox,,
,,,1/4/2023,73,New York,Jerusalem,Speech Therapist/Pathologist,Female,Married,Oleh,8/10/2022,LY26,Modern Orthodox,,
,,,1/4/2023,76,New York,Jerusalem,Engineer - Environmental,Male,Married,Oleh,8/10/2022,LY26,Modern Orthodox,,
,,,1/4/2023,63,New York,Jerusalem,Education Administration,Female,Married,Oleh,11/3/2022,LY26,Modern Orthodox,,
,,,1/4/2023,65,New Jersey,Ra'anana,Speech Therapist/Pathologist,Female,Married,Oleh,8/9/2022,LY26,Modern Orthodox,Bachelors Degree,
,,,1/4/2023,65,New Jersey,Ra'anana,Other,Male,Married,Oleh,8/9/2022,LY26,Modern Orthodox,Bachelors Degree,
,,,1/4/2023,26,New York,Beit Shean,Physician Assistant,Female,Single,Ezrach Oleh,11/4/2022,LY26,Conservative,,
,,,1/4/2023,67,New York,Kiryat Ye'arim,Engineer - Civil,Female,Married,Oleh,9/13/2022,,Orthodox,,
,,,1/4/2023,77,New York,Kiryat Ye'arim,Education Administration,Male,Married,Oleh,9/13/2022,,Orthodox,Masters Degree,
,,,1/4/2023,64,New York,Tel Aviv-Yafo,Fundraising,Male,Married,Oleh,9/21/2022,LY26,Reform,,
