,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Í–ËŸ⁄ ‚‹ŸŸ‘,“Ÿ‹,ﬁ”Ÿ‡Í ﬁÁ’Ë,‚ŸË ﬁ“’ËŸ› —ŸÈË–‹,ﬁÁÊ’‚,È‡Í ‚‹ŸŸ‘,ﬁ“”Ë,ﬁÊ— ﬁÈ‰◊ÍŸ,·ÿÿ’· ‚‹ŸŸ‘,Í–ËŸ⁄ Ë–Ÿ’ﬂ ‚‹ŸŸ‘,ﬁ·' ÿŸ·Í ‚‹ŸŸ‘,
,1/1/2023,1,New York,Nahariya,,2023,Female,Child,,,,
,1/1/2023,58,Illinois,Jerusalem,Real Estate - Property Manager,2023,Female,Married,Oleh,1/13/2022,UA140,
,1/1/2023,59,Illinois,Jerusalem,Sales,2023,Male,Married,Oleh,1/13/2022,UA140,
,1/1/2023,22,New Jersey,Herzliya,,2023,Male,Single,,,,
,1/2/2023,17,New Jersey,Migdal Oz,Student,2023,Female,Single,,,,
,1/2/2023,79,Oregon,Or Akiva,Education - Principal,2023,Male,Married,Oleh,11/1/2022,LY06,
,1/3/2023,18,Rhode Island,Lavi,Unemployed,2023,Male,Single,,,,
,1/4/2023,25,New York,Tel Aviv-Yafo,Student,2023,Female,Single,Oleh,11/9/2022,LY26,
,1/4/2023,73,New York,Jerusalem,Speech Therapist/Pathologist,2023,Female,Married,Oleh,8/10/2022,LY26,
,1/4/2023,76,New York,Jerusalem,Engineer - Environmental,2023,Male,Married,Oleh,8/10/2022,LY26,
,1/4/2023,63,New York,Jerusalem,Education Administration,2023,Female,Married,Oleh,11/3/2022,LY26,
,1/4/2023,65,New Jersey,Ra'anana,Speech Therapist/Pathologist,2023,Female,Married,Oleh,8/9/2022,LY26,
,1/4/2023,65,New Jersey,Ra'anana,Other,2023,Male,Married,Oleh,8/9/2022,LY26,
,1/4/2023,26,New York,Beit She'an,Physician Assistant,2023,Female,Single,Ezrach Oleh,11/4/2022,LY26,
,1/4/2023,67,New York,Kiryat Ye'arim,Engineer - Civil,2023,Female,Married,Oleh,9/13/2022,,
,1/4/2023,77,New York,Kiryat Ye'arim,Education Administration,2023,Male,Married,Oleh,9/13/2022,,
,1/4/2023,64,New York,Tel Aviv-Yafo,Fundraising,2023,Male,Married,Oleh,9/21/2022,LY26,
,1/4/2023,65,New York,Tel Aviv-Yafo,Finance,2023,Female,Married,Oleh,9/21/2022,LY26,
,1/4/2023,31,New York,Tel Aviv-Yafo,Sales,2023,Female,Single,Oleh,10/31/2022,LY26,
,1/4/2023,28,New York,Tel Aviv,Software Engineer,2023,Male,Single,Ezrach Oleh,11/8/2022,LY26,
,1/4/2023,25,Ohio,Tel Aviv-Yafo,Speech Therapist/Pathologist,2023,Female,Single,Oleh,11/29/2022,DL234,
,1/4/2023,22,Maryland,Ashkelon,Student,2023,Male,Single,Oleh,11/15/2022,UA84,
,1/4/2023,75,,Rehovot,,2023,Male,Married,,,,
,1/4/2023,74,Maryland,Modiin,Import/Export,2023,Male,Married,,,,
,1/4/2023,24,,Tel Aviv-Yafo,,2023,Female,Single,,,,
,1/5/2023,31,,Jerusalem,Academia,2023,Male,Single,,11/12/2021,,
,1/5/2023,20,California,‘ËÊ‹Ÿ‘,Student,2023,Male,Single,,,,
,1/5/2023,27,,Bat Yam,,2023,Male,Single,,,,
,1/9/2023,24,Michigan,Tel Aviv,Business Analyst,2023,Female,Single,Oleh,9/23/2022,LX1485/LX252,
,1/9/2023,23,,Jerusalem,ABA specialist,2023,Male,Married,,,,
,1/9/2023,22,,Jerusalem,Academia,2023,Female,Married,,,,
,1/9/2023,1,,Jerusalem,,2023,Male,Child,,,,
,1/9/2023,23,,Jerusalem,,2023,Male,Married,,,,
,1/10/2023,42,Florida,Jerusalem,Self Employed/Small Business,2023,Female,Married,,,,
,1/10/2023,15,Florida,Jerusalem,,2023,Male,Child,,,,
,1/10/2023,44,Florida,Jerusalem,Self Employed/Small Business,2023,Male,Married,,,,
,1/10/2023,12,Florida,Jerusalem,,2023,Male,Child,,,,
,1/10/2023,9,Florida,Jerusalem,,2023,Female,Child,,,,
,1/10/2023,31,California,Tel Aviv-Yafo,Transcription,2023,Female,Single,Oleh,10/3/2022,LY06,
,1/10/2023,57,California,beer sheva,Real Estate Agent,2023,Male,Divorced,Oleh,11/23/2021,LY06,
,1/10/2023,19,Arizona,Yagur,Machinist/CNC,2023,Male,Single,Oleh,11/28/2022,LY06,
,1/10/2023,25,Ontario,Jerusalem,Management Consultant,2023,Male,Married,Oleh,11/2/2022,AC80,
,1/10/2023,25,Ontario,Jerusalem,Marketing - Social Media,2023,Female,Married,Oleh,11/2/2022,AC80,
,1/10/2023,22,California,Tel Aviv-Yafo,Student,2023,Female,Single,Ezrach Oleh,12/15/2022,LY06,
,1/10/2023,21,California,Jerusalem,Professor,2023,Female,Single,Ezrach Oleh,11/2/2022,LY06,
,1/10/2023,58,California,Jerusalem,Professor,2023,Female,Separated,Oleh,11/2/2022,LY06,
,1/10/2023,30,California,Bnei Brak,Homemaker,2023,Female,Married,,,,
,1/10/2023,31,Quebec,Bat Yam,Student,2023,Male,Single,,,,
,1/11/2023,31,Massachusetts,Jerusalem,Design,2023,Female,Single,,,,
,1/11/2023,21,New Jersey,Kfar Tapuach,,2023,Male,Single,,8/19/2020,,
,1/11/2023,25,,Jerusalem,,2023,Male,Married,,,,
,1/11/2023,25,New Jersey,Jerusalem,,2023,Male,Single,,,,
,1/11/2023,69,Michigan,Ma'ale Adumim,Academia,2023,Female,Married,Oleh,8/23/2022,LY18,
